,City,Var,Phase,Period,Dtype,End,Start,Ttype,Mean Obs,Mean Pred,Mean O-P,Mean abs(O-P),StdD Obs,StdD Pred,StdD O-P,StdD abs(O-P),abs(O-P)/Std,Month
0,DENVER,TMIN,4,0,0,200503,195005,1,17.200000000000003,18.376488200100987,-1.1764882001009855,3.8430582878806367,4.531699051823311,2.985892925268593,5.072981220265381,3.4788354489153033,0.848039166752346,1
1,DENVER,TMIN,4,0,0,200503,195005,1,20.558181818181822,20.204909775473855,0.3532720427079634,3.9169051950628115,3.8864765967004535,3.502851685341471,4.930293322007261,2.9679360474456775,1.0078293532986127,2
2,DENVER,TMIN,4,0,0,200503,195005,1,26.08181818181818,24.681235226717863,1.40058295510032,3.442568539706144,3.285156905271936,3.6927906295429946,3.9926703501606555,2.4225254187699674,1.0479160170954385,3
3,DENVER,TMIN,4,0,0,200503,195005,1,34.4574074074074,32.91113927629259,1.5462681311148179,3.8662182631316,3.02278154122686,4.120474311772916,4.4198745094745995,2.596473245489045,1.2790266879697874,4
4,DENVER,TMIN,4,0,0,200503,195005,1,44.063636363636355,45.45564686168324,-1.392010498046875,3.97454678622159,2.355557937868054,4.343192047982774,4.80218836173049,2.9908242831899403,1.6873058914521266,5
5,DENVER,TMIN,4,0,0,200503,195005,1,52.863636363636346,54.40636936534535,-1.5427330017089833,3.156176216819071,2.6866862169376664,3.4202145327561215,3.613343872228076,2.309639369261904,1.1747468673198977,6
6,DENVER,TMIN,4,0,0,200503,195005,1,58.97636363636362,56.605526039817114,2.370837596546519,2.946043146306818,2.0804169486270494,2.641745368716838,3.1644429584194826,2.626549971724758,1.4160830348219524,7
7,DENVER,TMIN,4,0,0,200503,195005,1,57.36000000000001,52.353524433482775,5.006475566517225,5.189694005792794,1.9807966971790807,3.651006329614528,4.148267307766429,3.91221170823179,2.620003361871318,8
8,DENVER,TMIN,4,0,0,200503,195005,1,48.152727272727276,44.49205918745561,3.660668085271661,4.748797746138139,2.6463709984201866,4.575715457804197,5.067585843607593,4.044796870488936,1.794456540285941,9
9,DENVER,TMIN,4,0,0,200503,195005,1,36.83272727272727,35.06122713955966,1.7715001331676132,5.398488492098722,2.601997419750945,5.374371684120624,6.317655733575193,3.664113262460891,2.0747478268504387,10
10,DENVER,TMIN,4,0,0,200503,195005,1,25.2309090909091,26.451013963872736,-1.2201048729636452,4.739792726690119,2.8789062176634044,5.191880447459078,6.117712439367739,4.007613220138586,1.6463866372615148,11
11,DENVER,TMIN,4,0,0,200503,195005,1,18.541818181818183,20.114029520208184,-1.5722113383900032,4.295162818215111,3.9678658742401565,3.699607360648753,5.866096607469033,4.258949607955803,1.0824868970747736,12
12,DENVER,TMIN,4,1,0,200503,195006,1,17.200000000000003,17.881502879749643,-0.6815028797496446,3.7241615295410146,4.531699051823311,2.798764532705207,4.897031960338236,3.2136816268874147,0.821802482237344,1
13,DENVER,TMIN,4,1,0,200503,195006,1,20.558181818181822,19.68962671106512,0.8685551071166998,3.3863638270985,3.8864765967004535,3.200224348479811,4.308318904413318,2.7658903746543846,0.8713197526966868,2
14,DENVER,TMIN,4,1,0,200503,195006,1,26.08181818181818,23.674871652776545,2.406946529041637,3.664559083418412,3.285156905271936,3.480657702884212,3.7755820807454,2.545195146760877,1.1154898195387932,3
15,DENVER,TMIN,4,1,0,200503,195006,1,34.4574074074074,30.962680887292933,3.494726520114477,4.600368259571217,3.02278154122686,3.903307517087354,4.326882555815231,3.0988328240639684,1.5218990181156329,4
16,DENVER,TMIN,4,1,0,200503,195006,1,44.13333333333333,42.78907722897,1.3442561043633363,3.460496655216924,2.3197267243086417,4.022452946386866,4.366816511616984,2.951139529849251,1.4917691032111857,5
17,DENVER,TMIN,4,1,0,200503,195006,1,52.863636363636346,53.117777945778585,-0.2541415821422222,2.720353573885831,2.6866862169376664,3.026311734113712,3.3570469625538615,1.9488924366489915,1.0125311831117143,6
18,DENVER,TMIN,4,1,0,200503,195006,1,58.97636363636362,56.8967228976163,2.079640738747337,2.8251745744185017,2.0804169486270494,2.396787856227953,3.214884210390671,2.571197763484818,1.3579847906367748,7
19,DENVER,TMIN,4,1,0,200503,195006,1,57.36000000000001,54.48673067959872,2.873269320401278,3.408180264559659,1.9807966971790807,2.941636484579481,3.559660785022373,3.0412080256633622,1.7206108377570315,8
20,DENVER,TMIN,4,1,0,200503,195006,1,48.152727272727276,47.21225492304022,0.9404723496870562,3.78586350180886,2.6463709984201866,4.125809095783824,4.94299691962685,3.27656866532163,1.4305868315776284,9
21,DENVER,TMIN,4,1,0,200503,195006,1,36.83272727272727,36.76260989796032,0.07011737476695623,4.9073188296231365,2.601997419750945,5.307025963260144,6.133099597783656,3.6183119294338817,1.8859814357897593,10
22,DENVER,TMIN,4,1,0,200503,195006,1,25.2309090909091,26.738780177723278,-1.5078710868141865,5.036580651023171,2.8789062176634044,5.477739633786051,6.48942721634361,4.3117907318111355,1.749477152163363,11
23,DENVER,TMIN,4,1,0,200503,195006,1,18.541818181818183,19.47815296866677,-0.9363347868485882,4.60841823577881,3.9678658742401565,3.869662420014583,5.900189010779261,3.7515840369100917,1.1614349833993114,12
24,DENVER,TMIN,4,2,0,200503,195007,1,17.200000000000003,17.941177905689585,-0.7411779056895863,3.6723155732588335,4.531699051823311,2.3358553265800337,4.874562474637497,3.253496037710097,0.8103617498124224,1
25,DENVER,TMIN,4,2,0,200503,195007,1,20.558181818181822,20.78233085979115,-0.22414904160933055,3.619913264187899,3.8864765967004535,2.6670320562184315,4.612948344185139,2.8256027950919607,0.9314125980486125,2
26,DENVER,TMIN,4,2,0,200503,195007,1,26.08181818181818,25.46670053655451,0.6151176452636719,2.6260081481933604,3.285156905271936,2.712919925599506,3.4057930096523537,2.227371005122047,0.7993554718738729,3
27,DENVER,TMIN,4,2,0,200503,195007,1,34.4574074074074,32.40562230569345,2.0517851017139574,3.1028751867788817,3.02278154122686,3.0425380546346403,3.4579838224308164,2.537205775555533,1.0264966701892437,4
28,DENVER,TMIN,4,2,0,200503,195007,1,44.13333333333333,43.265883692988645,0.8674496403446904,2.949896098949291,2.3197267243086417,3.539905514976419,3.8763333481678806,2.6318345481808927,1.271656729233251,5
29,DENVER,TMIN,4,2,0,200503,195007,1,52.877777777777766,52.9638926188151,-0.08611484103732563,2.9202949806495955,2.709846940373491,3.1627050769565814,3.560388665822865,1.9987226888194976,1.0776604896537438,6
30,DENVER,TMIN,4,2,0,200503,195007,1,58.97636363636362,56.93022044788707,2.0461431884765626,2.7860715831409797,2.0804169486270494,2.775652737037288,3.442835106153881,2.865555411731266,1.3391890433211573,7
31,DENVER,TMIN,4,2,0,200503,195007,1,57.36000000000001,54.35972470370206,3.00027529629794,3.5756241954456676,1.9807966971790807,3.131779544993924,3.833838983173073,3.293147609189094,1.8051444656273077,8
32,DENVER,TMIN,4,2,0,200503,195007,1,48.152727272727276,46.55783913352273,1.5948881392045455,4.439454040527345,2.6463709984201866,4.088110766073699,5.583722914729715,3.7006763788727897,1.6775629884009389,9
33,DENVER,TMIN,4,2,0,200503,195007,1,36.83272727272727,35.848229737715286,0.9844975350119848,3.827367241599343,2.601997419750945,4.087709759854554,4.953286904939961,3.2561054033405017,1.470934295532732,10
34,DENVER,TMIN,4,2,0,200503,195007,1,25.2309090909091,25.5551118330522,-0.32420274214311096,3.8290432739257807,2.8789062176634044,3.842864244814231,5.045704601465259,3.2608443359734336,1.3300340422459236,11
35,DENVER,TMIN,4,2,0,200503,195007,1,18.541818181818183,19.608137668262827,-1.0663194864446464,3.9604843659834446,3.9678658742401565,2.782214293696762,4.885126206678917,3.007763968429465,0.998139677980389,12
