,City,Var,Period,Phase,D-Type,T-Type,Winter,Spring,Summer,Fall
57,NEW YORK CITY,TMAX,20,0,0,1,0.6186909546069028,0.6378006472678192,0.6606074853819969,0.7831294590582072
58,NEW YORK CITY,TMAX,21,0,0,1,0.6603005563793145,0.6430814814126188,0.6014611404074107,0.7014948113731836
59,NEW YORK CITY,TMAX,22,0,0,1,0.6102134667562381,0.5988839668861282,0.6769153625316302,0.7825295696587976
60,NEW YORK CITY,TMAX,23,0,0,1,0.6058280376962292,0.6051697873040666,0.6044203645602876,0.5859677375984389
61,NEW YORK CITY,TMAX,24,0,0,1,0.6200208824435672,0.6939216274819794,0.6985423461912014,0.7231451756445985
62,NEW YORK CITY,TMAX,25,0,0,1,0.5474869492935953,0.657725290519464,0.6578941364923611,0.6050568705773572
63,NEW YORK CITY,TMAX,26,0,0,1,0.4903252594192585,0.5779698476813838,0.6841886841950228,0.6220910363500053
64,NEW YORK CITY,TMAX,27,0,0,1,0.539232777036625,0.5887902769883726,0.5965059559285106,0.6461220472072062
65,NEW YORK CITY,TMAX,28,0,0,1,0.5956995156321462,0.6598585252264426,0.7588598525011009,0.7149342549260136
66,NEW YORK CITY,TMAX,29,0,0,1,0.6545458861766918,0.8087711708214337,0.8175240930577808,0.7953342767324972
67,NEW YORK CITY,TMAX,30,0,0,1,0.5924766566138332,0.6487131533687703,0.8793038310616891,0.7133437856345046
68,NEW YORK CITY,TMAX,31,0,0,1,0.6815165591733674,0.8263676662581441,0.8343722159250744,0.8020645361198673
69,NEW YORK CITY,TMAX,32,0,0,1,0.4773852662191485,0.6494934746974054,0.5758473454489192,0.5322481128813418
70,NEW YORK CITY,TMAX,33,0,0,1,0.48442850403438237,0.5828857077662607,0.5681509908995476,0.5115805172156191
71,NEW YORK CITY,TMAX,34,0,0,1,0.5206911101472579,0.809676536007419,0.841176682869182,0.7727273344737253
72,NEW YORK CITY,TMAX,35,0,0,1,0.6423905408327311,0.7542757284608855,0.8537096950784493,0.737588186019003
73,NEW YORK CITY,TMAX,36,0,0,1,0.47528544966062897,0.5537495054932412,0.7835367614756686,0.5890246381543821
