,City,Var,Period,Phase,Dtype,Ttype,Timer
0,DENVER,TMIN,0,4,0,1,70.57980570000018
1,DENVER,TMIN,1,4,0,1,74.28686209999978
2,DENVER,TMIN,2,4,0,1,89.88855870000043
3,DENVER,TMIN,3,4,0,1,86.71741770000062
4,DENVER,TMIN,4,4,0,1,82.96223500000087
5,DENVER,TMIN,5,4,0,1,81.87145640000017
6,DENVER,TMIN,6,4,0,1,84.22247609999977
7,DENVER,TMIN,7,4,0,1,85.88106429999971
8,DENVER,TMIN,8,4,0,1,83.95020590000058
9,DENVER,TMIN,9,4,0,1,82.36929770000006
10,DENVER,TMIN,10,4,0,1,89.43725899999936
11,DENVER,TMIN,11,4,0,1,80.86248799999976
12,DENVER,TMIN,12,4,0,1,77.14682780000112
13,DENVER,TMIN,13,4,0,1,78.06690010000057
14,DENVER,TMIN,14,4,0,1,77.78016490000118
15,DENVER,TMIN,15,4,0,1,73.08164629999919
16,DENVER,TMIN,16,4,0,1,71.72084820000055
17,DENVER,TMIN,17,4,0,1,75.23557529999925
18,DENVER,TMIN,18,4,0,1,92.2485816999997
19,DENVER,TMIN,19,4,0,1,101.70999739999934
20,DENVER,TMIN,20,4,0,1,104.92194949999976
21,DENVER,TMIN,21,4,0,1,106.99582700000065
22,DENVER,TMIN,22,4,0,1,99.20582939999986
23,DENVER,TMIN,23,4,0,1,90.35713960000066
24,DENVER,TMIN,24,4,0,1,105.76927109999997
25,DENVER,TMIN,25,4,0,1,93.3392617999998
26,DENVER,TMIN,26,4,0,1,90.73936739999954
27,DENVER,TMIN,27,4,0,1,93.90385760000026
28,DENVER,TMIN,28,4,0,1,92.9212279000003
29,DENVER,TMIN,29,4,0,1,83.56507260000035
30,DENVER,TMIN,30,4,0,1,92.40561250000064
31,DENVER,TMIN,31,4,0,1,91.09348909999972
32,DENVER,TMIN,32,4,0,1,95.38339420000011
33,DENVER,TMIN,33,4,0,1,97.24594909999905
34,DENVER,TMIN,34,4,0,1,95.87186459999975
35,DENVER,TMIN,35,4,0,1,91.29443280000123
36,DENVER,TMIN,36,4,0,1,98.22124489999987
37,DENVER,TMAX,0,4,0,1,95.62764189999871
38,DENVER,TMAX,1,4,0,1,108.59240669999963
39,DENVER,TMAX,2,4,0,1,94.27676409999913
40,DENVER,TMAX,3,4,0,1,111.29981190000035
41,DENVER,TMAX,4,4,0,1,103.87755169999946
42,DENVER,TMAX,5,4,0,1,103.0951857
43,DENVER,TMAX,6,4,0,1,96.58644230000027
44,DENVER,TMAX,7,4,0,1,84.88583429999926
45,DENVER,TMAX,8,4,0,1,87.10723819999839
46,DENVER,TMAX,9,4,0,1,86.1707905000003
47,DENVER,TMAX,10,4,0,1,90.13035859999945
48,DENVER,TMAX,11,4,0,1,85.77700920000098
49,DENVER,TMAX,12,4,0,1,88.58783720000065
50,DENVER,TMAX,13,4,0,1,88.79778950000036
51,DENVER,TMAX,14,4,0,1,90.37703760000113
52,DENVER,TMAX,15,4,0,1,86.87974219999887
53,DENVER,TMAX,16,4,0,1,105.1817160999999
54,DENVER,TMAX,17,4,0,1,117.1507872000002
55,DENVER,TMAX,18,4,0,1,118.66436919999978
56,DENVER,TMAX,19,4,0,1,119.09203789999992
57,DENVER,TMAX,20,4,0,1,116.82213889999912
58,DENVER,TMAX,21,4,0,1,107.87916079999923
59,DENVER,TMAX,22,4,0,1,100.52547929999855
60,DENVER,TMAX,23,4,0,1,91.93844119999994
61,DENVER,TMAX,24,4,0,1,94.71160340000097
62,DENVER,TMAX,25,4,0,1,93.89405289999922
63,DENVER,TMAX,26,4,0,1,96.13739960000021
64,DENVER,TMAX,27,4,0,1,96.87387529999978
65,DENVER,TMAX,28,4,0,1,95.68401319999975
66,DENVER,TMAX,29,4,0,1,104.87752209999962
67,DENVER,TMAX,30,4,0,1,106.42763989999912
68,DENVER,TMAX,31,4,0,1,113.13680289999866
69,DENVER,TMAX,32,4,0,1,107.96686480000062
70,DENVER,TMAX,33,4,0,1,124.63359289999971
71,DENVER,TMAX,34,4,0,1,98.0899328000014
72,DENVER,TMAX,35,4,0,1,91.82450889999927
73,DENVER,TMAX,36,4,0,1,92.99369200000001
