,City,Var,Period,Phase,D-Type,T-Type,Start,End,Train Winter,Train Spring,Train Summer,Train Fall,Train R2,Test Winter,Test Spring,Test Summer,Test Fall,Test R2,Layers,First_neuron,FB
0,DENVER,TMIN,36,0,0,1,196611,201812,0.6253017073493724,0.5456031585581892,0.6627010949623654,0.6458241666362715,0.9723319761843127,0.8084977324323398,1.1941644457225402,1.1260590884691617,1.1636583817679773,0.9303166441005818,1,25,2
0,DENVER,TMIN,36,0,0,1,196611,201812,0.6668815978709096,0.7080178239798037,0.756518792623419,0.8197173045943761,0.9649305908348397,0.7776001592043329,1.3933659683782587,1.519270041990702,1.4403400988280037,0.9080216843789151,2,25,2
0,DENVER,TMIN,36,0,0,1,196611,201812,0.5604572014641668,0.5204325871312813,0.5957515863354087,0.6494689468026008,0.9757050899151377,0.8599880017365936,1.1706705595042424,1.4374956681392217,1.2728186630272165,0.9202764598773988,4,25,2
0,DENVER,TMIN,36,0,0,1,196611,201812,0.6719607703733806,0.5370170729661429,0.6294721426294703,0.6072312962628282,0.9713289896610415,0.8340469888117008,1.2134110715013524,1.2012419552550198,1.303418847560531,0.92769428234559,6,25,2
0,DENVER,TMIN,36,0,0,1,196611,201812,0.6618536680665111,0.5380953558069064,0.6444606605382882,0.6237058478856916,0.9705692372306798,0.7499264501077021,1.0985231398769673,1.5422372911192825,1.2009256844013818,0.9223936372992261,8,25,2
0,DENVER,TMIN,36,0,0,1,196611,201812,0.6738432823502261,0.45781366427558634,0.6843263845995505,0.6316554044822676,0.9707700051598719,0.7773836423394881,1.0936591661089108,1.0877006076235771,1.238920163650345,0.932492352016974,10,25,2
0,DENVER,TMIN,36,0,0,1,196611,201812,0.7984247803866907,0.6710151887555399,0.6645426052005957,0.6599525324538789,0.9650452481188897,0.8663135521462478,1.256241699859848,1.4311736516244988,1.2483733862270017,0.9108781823878631,1,50,2
0,DENVER,TMIN,36,0,0,1,196611,201812,0.6716540096540222,0.6903034053883755,0.8235082716329339,0.6665863853529964,0.9670380377355068,0.7974354514531615,1.2680838219328845,1.6411545990980738,1.5583460195416696,0.905330193739764,2,50,2
0,DENVER,TMIN,36,0,0,1,196611,201812,0.6287422555637618,0.5521982337868278,0.935213868025286,0.6225098869615063,0.9686365647737528,0.8192672626168283,1.2788150244762893,1.281880767177755,1.2406425745366467,0.9250353290577008,4,50,2
0,DENVER,TMIN,36,0,0,1,196611,201812,0.6246695185670997,0.5155197967890338,0.8644819666815149,0.6998133466526536,0.9691208893755336,0.7906983186470828,1.1352213602790526,1.2991145125061656,1.282533667423832,0.9308384577137355,6,50,2
