,City,Var,Period,Phase,Dtype,Ttype,Timer
0,DENVER,TMIN,0,4,0,2,51.227217100000416
1,DENVER,TMIN,1,4,0,2,51.79723139999987
2,DENVER,TMIN,2,4,0,2,51.46995450000031
3,DENVER,TMIN,3,4,0,2,51.82232440000007
4,DENVER,TMIN,4,4,0,2,55.36179309999898
5,DENVER,TMIN,5,4,0,2,41.385897000000114
6,DENVER,TMIN,6,4,0,2,35.920708300000115
7,DENVER,TMIN,7,4,0,2,35.239341700000296
8,DENVER,TMIN,8,4,0,2,36.809320799999114
9,DENVER,TMIN,9,4,0,2,40.710655800001405
10,DENVER,TMIN,10,4,0,2,43.391072800000984
11,DENVER,TMIN,11,4,0,2,42.758785800000624
12,DENVER,TMIN,12,4,0,2,42.27096200000051
13,DENVER,TMIN,13,4,0,2,42.63485750000109
14,DENVER,TMIN,14,4,0,2,44.380695700001525
15,DENVER,TMIN,15,4,0,2,41.0899313000009
16,DENVER,TMIN,16,4,0,2,42.83132380000097
17,DENVER,TMIN,17,4,0,2,45.31397990000005
18,DENVER,TMIN,18,4,0,2,44.09532669999862
19,DENVER,TMIN,19,4,0,2,43.783322000001135
20,DENVER,TMIN,20,4,0,2,41.820397199999206
21,DENVER,TMIN,21,4,0,2,44.75256629999967
22,DENVER,TMIN,22,4,0,2,44.57397089999904
23,DENVER,TMIN,23,4,0,2,46.06399820000115
24,DENVER,TMIN,24,4,0,2,43.160782500001005
25,DENVER,TMIN,25,4,0,2,44.56710639999983
26,DENVER,TMIN,26,4,0,2,46.259253700000045
27,DENVER,TMIN,27,4,0,2,47.81249409999873
28,DENVER,TMIN,28,4,0,2,49.70713880000039
29,DENVER,TMIN,29,4,0,2,52.76023690000147
30,DENVER,TMIN,30,4,0,2,47.64241299999958
31,DENVER,TMIN,31,4,0,2,49.92669070000011
32,DENVER,TMIN,32,4,0,2,48.113019300000815
33,DENVER,TMIN,33,4,0,2,47.372734199998376
34,DENVER,TMIN,34,4,0,2,47.287138399999094
35,DENVER,TMIN,35,4,0,2,47.867733099999896
36,DENVER,TMIN,36,4,0,2,46.899150799999916
37,DENVER,TMAX,0,4,0,2,49.901715899999544
38,DENVER,TMAX,1,4,0,2,50.418185299999095
39,DENVER,TMAX,2,4,0,2,48.19526380000025
40,DENVER,TMAX,3,4,0,2,50.28473649999978
41,DENVER,TMAX,4,4,0,2,52.5650612999998
42,DENVER,TMAX,5,4,0,2,50.51880749999873
43,DENVER,TMAX,6,4,0,2,52.906431300001714
44,DENVER,TMAX,7,4,0,2,45.42101879999973
45,DENVER,TMAX,8,4,0,2,39.69824879999942
46,DENVER,TMAX,9,4,0,2,38.566604599996936
47,DENVER,TMAX,10,4,0,2,36.29135370000222
48,DENVER,TMAX,11,4,0,2,34.12375780000002
49,DENVER,TMAX,12,4,0,2,33.65925490000154
50,DENVER,TMAX,13,4,0,2,32.71670909999739
51,DENVER,TMAX,14,4,0,2,33.9292465000035
52,DENVER,TMAX,15,4,0,2,32.93655740000031
53,DENVER,TMAX,16,4,0,2,32.775593800000934
54,DENVER,TMAX,17,4,0,2,33.36132440000074
55,DENVER,TMAX,18,4,0,2,33.23082250000152
56,DENVER,TMAX,19,4,0,2,33.92179709999982
57,DENVER,TMAX,20,4,0,2,33.17617270000119
58,DENVER,TMAX,21,4,0,2,39.98137470000074
59,DENVER,TMAX,22,4,0,2,43.23794899999848
60,DENVER,TMAX,23,4,0,2,60.36838369999896
61,DENVER,TMAX,24,4,0,2,44.67055790000086
62,DENVER,TMAX,25,4,0,2,44.92474229999789
63,DENVER,TMAX,26,4,0,2,45.29568079999808
64,DENVER,TMAX,27,4,0,2,45.0006171999994
65,DENVER,TMAX,28,4,0,2,45.124566099999356
66,DENVER,TMAX,29,4,0,2,45.79876729999887
67,DENVER,TMAX,30,4,0,2,46.713252000001376
68,DENVER,TMAX,31,4,0,2,48.06121549999807
69,DENVER,TMAX,32,4,0,2,49.18226610000056
70,DENVER,TMAX,33,4,0,2,47.810095900000306
71,DENVER,TMAX,34,4,0,2,48.25081670000145
72,DENVER,TMAX,35,4,0,2,47.61555950000184
73,DENVER,TMAX,36,4,0,2,48.058949700000085
