,City,Var,Period,Phase,D-Type,T-Type,Start,End,Train Winter,Train Spring,Train Summer,Train Fall,Train R2,Test Winter,Test Spring,Test Summer,Test Fall,Test R2,Layers,First_neuron
0,DENVER,TMIN,30,0,0,1,195207,200502,0.6349548201879558,0.582364212860998,0.646862943040458,0.828279386929973,0.9652342999355654,0.9626894814747482,1.4392807323711436,1.2929802299295137,1.2471869938391524,0.9302969108501064,1,25
0,DENVER,TMIN,30,0,0,1,195207,200502,0.6999284794177344,0.5613840788119853,0.6888758948871988,0.7109338754799784,0.9635335242502809,0.9550564311334052,1.3042493541014242,1.2611540767128793,1.3223451372861545,0.9302983077196787,2,25
0,DENVER,TMIN,30,0,0,1,195207,200502,0.5954991572869214,0.7148279361448212,1.166832759771059,0.8480332807754168,0.9591488871103827,1.021810089589171,1.294565955964362,1.5147783455200796,0.9714533632989489,0.9313647283508545,4,25
0,DENVER,TMIN,30,0,0,1,195207,200502,0.6576723903529118,0.5125411902395988,0.6271084887699089,0.6270138189079947,0.9681395759584901,0.8417764040806098,1.296852942086112,1.1582260171285907,1.141985283828509,0.9409171680658077,6,25
0,DENVER,TMIN,30,0,0,1,195207,200502,0.7458842986739677,0.6653003390554167,1.0268473932229234,0.7456378502021591,0.9576230075084257,0.9698763017275182,1.1327224210407167,1.2880067517713154,1.0146537944281986,0.9443907839737341,8,25
0,DENVER,TMIN,30,0,0,1,195207,200502,0.7126923259478746,0.6826411432639906,0.6285685328629803,0.7488635448125024,0.9622348555963206,0.8847707867058437,1.0333242445977424,1.1002818058986468,1.1806095892470936,0.9466265458567878,10,25
0,DENVER,TMIN,30,0,0,1,195207,200502,0.6501168152634182,0.830932045184106,1.4177596016350211,0.9079570550148587,0.9504731642226728,1.003080484569357,1.3697948246856428,1.9152264342178442,1.7209174810070964,0.9160533615055552,1,50
0,DENVER,TMIN,30,0,0,1,195207,200502,0.666631356438503,0.787220137497378,0.8931191104132633,0.7891518197882189,0.9615130412387726,0.8529345774598789,1.5204404414191177,1.1669064005902736,1.2291676186418592,0.9387742689950263,2,50
0,DENVER,TMIN,30,0,0,1,195207,200502,0.6376745575520253,0.6696916067703768,1.003921097643213,0.6943603419127697,0.9637249531816661,0.7840488109096847,1.2740959973164039,1.4378438333796957,0.9578639175059203,0.9420511707685655,4,50
0,DENVER,TMIN,30,0,0,1,195207,200502,0.7093564671207031,0.6960010170984393,1.0947852643457587,0.7066846868430045,0.9589575590139403,0.9449489767048266,1.0341121713939747,1.476051173648374,1.1842353458669865,0.9355862265812225,6,50
0,DENVER,TMIN,30,0,0,1,195207,200502,0.6541844716952075,0.6018843230834208,0.8808560463547711,0.7671450964481602,0.9648729625237991,0.8647222473155143,1.3993637325192987,1.2945938533428338,1.1063069465664472,0.9400929141872675,8,50
0,DENVER,TMIN,30,0,0,1,195207,200502,0.7075726738396516,0.5208061722615837,0.6109238069401087,0.7591412791377684,0.9667194645300949,0.7653561084159399,1.1972408641695576,1.0429327648848146,1.1348551550221784,0.9496467554430749,10,50
0,DENVER,TMIN,30,0,0,1,195207,200502,0.6919958691348528,0.6114358475673133,0.8188114465072479,0.7249885830122557,0.9640028015309019,0.9892312397270372,1.194543200605728,1.3727906089988264,0.9386884477600118,0.9424002801550884,1,75
0,DENVER,TMIN,30,0,0,1,195207,200502,0.6182515956042048,0.5625236193272226,0.6798709376217776,0.7363047251156408,0.9678655049739825,0.8672852274393609,1.2538143579360332,1.2006631869758764,1.080818188806225,0.94313311908013,2,75
0,DENVER,TMIN,30,0,0,1,195207,200502,0.6102175673350977,0.5152733947729654,0.5990838929088529,0.6348329003527832,0.9712995804858215,0.8482960112839949,1.1042222620339877,1.028309682630428,1.1636184557380056,0.9494226432608005,4,75
0,DENVER,TMIN,30,0,0,1,195207,200502,0.8126694726476534,0.6761127455304453,0.9317993112627878,0.7999172453762995,0.9581235599140024,0.9413801835259612,1.5184249846919997,1.6821992437292217,1.5225994265865728,0.9261528659417109,6,75
0,DENVER,TMIN,30,0,0,1,195207,200502,0.7252183938437137,0.7600501116302455,0.7549115075709928,0.7909847040613477,0.9600209909208361,0.8563762235108427,1.5287830089683876,1.086736253500222,1.0049529928632055,0.9395794659779244,8,75
0,DENVER,TMIN,30,0,0,1,195207,200502,0.6773234691609837,0.6796162071857883,0.6487139279803759,0.6849892932466918,0.9658291933005061,0.8779375381796507,0.959637563997226,1.0531284905940683,1.10844417774227,0.9486956957391331,10,75
0,DENVER,TMIN,30,0,0,1,195207,200502,0.7123383235731979,0.6456459360993133,0.8152702825210655,0.8679205282968061,0.9618398947669011,0.9661285212158365,1.1975425972206268,1.2056950931383383,1.5770361233381702,0.9321551854679324,1,100
0,DENVER,TMIN,30,0,0,1,195207,200502,0.7083908085417971,0.7786953656792854,1.7540300696263993,0.9595313540974918,0.9404702071622083,0.9383314573124372,1.5545929597552561,2.1837028593077736,1.5966960582044345,0.9159913231316459,2,100
0,DENVER,TMIN,30,0,0,1,195207,200502,0.9527207219087215,1.058893319257338,1.389072285446811,0.8042783808541932,0.9364071037195348,1.0725366922933557,1.7177415575738342,1.7301128015268177,1.1942881392702842,0.918258990388425,4,100
0,DENVER,TMIN,30,0,0,1,195207,200502,0.7032702828951272,0.5948342686637857,0.706111334181971,0.8203682533149834,0.9639000429124792,0.8233674449768212,1.354288280761062,1.4204963495673162,1.0723519394974044,0.944647087880298,6,100
