,City,Var,Phase,Period,Dtype,End,Start,Ttype,Mean Obs,Mean Pred,Mean O-P,Mean abs(O-P),StdD Obs,StdD Pred,StdD O-P,StdD abs(O-P),abs(O-P)/Std,Month
0,DENVER,TMIN,0,34,0,201812,200801,2,17.91818181818182,17.481291250749067,0.4368905674327505,1.604722647233443,2.533700132935302,2.001447206575304,2.281266633752372,1.6067015612665778,0.6333514477004685,1
1,DENVER,TMIN,0,34,0,201812,200801,2,19.227272727272727,20.555677240545098,-1.328404513272372,2.9511517611416904,4.282310336510165,2.5755322267464673,3.563544299979464,2.2493879156046224,0.6891494378585155,2
2,DENVER,TMIN,0,34,0,201812,200801,2,28.08181818181818,26.581392288208008,1.5004258936101735,2.095685681429776,2.6003146662733645,2.6429550909660464,2.868578827815664,2.4236463885940545,0.8059354156676752,3
3,DENVER,TMIN,0,34,0,201812,200801,2,33.6,33.154987508600406,0.44501249139959176,3.182715502652256,2.668707552355633,3.041064737343883,4.066413643060055,2.3687367683665257,1.19260557412629,4
4,DENVER,TMIN,0,34,0,201812,200801,2,42.56363636363637,41.556208177046344,1.007428186590021,2.685315843061967,2.2588814609327006,3.1874370708146733,3.2244501638919867,1.8924767557286308,1.1887812129606792,5
5,DENVER,TMIN,0,34,0,201812,200801,2,54.027272727272724,51.68986719304865,2.3374055342240765,2.9934420498934666,2.498435874338545,2.204319097323427,3.130882576917562,2.4403835699192844,1.198126428074114,6
6,DENVER,TMIN,0,34,0,201812,200801,2,59.71818181818182,58.852842504327946,0.8653393138538706,2.1223444851962,1.807660466911959,1.7998234262718946,2.6545461713090446,1.7074917251031434,1.1740835870697657,7
7,DENVER,TMIN,0,34,0,201812,200801,2,57.05454545454547,58.09231740778143,-1.0377719532359728,1.847032789750533,1.3801185719811437,2.18758238626258,2.0802098968526095,1.3263701464991098,1.3383145674933854,8
8,DENVER,TMIN,0,34,0,201812,200801,2,49.67272727272727,49.02331820401278,0.6494090687144891,2.325183382901278,2.2548130339746164,2.5648302805615706,3.0179753748282234,1.9039315047865526,1.0312089507495075,9
9,DENVER,TMIN,0,34,0,201812,200801,2,36.75454545454546,38.31764810735529,-1.5631026528098366,4.310075586492364,3.5092345707756922,3.097967020829626,5.869533982460521,4.087128741231046,1.2282095994340019,10
10,DENVER,TMIN,0,34,0,201812,200801,2,26.900000000000002,26.706193056973543,0.19380694302645649,2.2828185341574927,2.589208373229161,1.3023270042770028,2.8140137338365934,1.4925160074922117,0.8816665965398719,11
11,DENVER,TMIN,0,34,0,201812,200801,2,16.472727272727273,19.866267464377664,-3.3935401916503904,3.9617171547629613,3.309408076708253,1.6739133338952392,3.4275548886621787,2.674160794454173,1.1971074775110648,12
12,DENVER,TMIN,0,35,0,201812,200802,2,18.340000000000003,18.15494155883789,0.1850584411621096,1.8053578948974607,2.226706586468505,0.8306818236414637,2.298961784954942,1.3045357870784922,0.8107749381388899,1
13,DENVER,TMIN,0,35,0,201812,200802,2,19.227272727272727,20.249554374001242,-1.0222816467285156,3.0117654280229047,4.282310336510165,1.7952774395384885,3.445560238322124,1.7446051143140633,0.703303869022561,2
14,DENVER,TMIN,0,35,0,201812,200802,2,28.08181818181818,27.566849795254793,0.5149683865633873,2.007632723721591,2.6003146662733645,0.9499657084211084,2.7862279222301582,1.9029266010535195,0.7720729916886658,3
15,DENVER,TMIN,0,35,0,201812,200802,2,33.6,33.516971588134766,0.0830284118652345,2.8985141407359722,2.668707552355633,1.944189755227392,3.789563416552279,2.264255138122668,1.0861115666935823,4
