,City,Var,Period,Phase,D-Type,T-Type,Start,End,Train Winter,Train Spring,Train Summer,Train Fall,Train R2,Test Winter,Test Spring,Test Summer,Test Fall,Test R2,Layers,First_neuron,FB
0,DENVER,TMIN,30,0,0,1,196605,201812,0.7917032185076139,0.7178440976694684,0.6676020019298456,0.7437755673298234,0.9632002970128092,0.8217314423935366,1.2968274501916932,1.1036102387356306,1.2085346020147467,0.924710382009296,1,25,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.6657161847326132,0.6140952774319363,0.7383359085043738,0.6970228726225688,0.96937168348336,0.8572600774365219,1.2943284901164465,1.5474167161812173,1.334217499736652,0.9129541131194243,2,25,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.6574771593649293,0.6146997994752161,0.6651570701800728,0.69193452625818,0.9682918994899791,0.8033074660338615,1.0327929607230604,1.2374926507410526,1.3276454695453774,0.925228533654925,4,25,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.6657217974439633,0.6750761175001289,0.7212457381482941,0.7459051048006384,0.9650869047191336,0.7746659747455263,1.1155279515664256,1.4091042536530072,1.4790956854248964,0.9178735236182762,6,25,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.7150739546716887,0.5992792790601787,0.7114476965260713,0.6890221162105084,0.9664733110440847,0.7662032215717353,1.1683920969406658,1.448682492140968,1.3658250020591725,0.9216872174902369,8,25,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.8410856806878529,0.802364277753433,0.7071648099323159,0.8400667525893973,0.957510876427344,0.7707155388233726,1.3788836792655943,1.5279510254713244,1.5460502923441675,0.9112304059156995,10,25,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.6677395584789093,0.6690000104618367,0.8448222192551588,0.8367366525493924,0.9673977679352151,0.7871479862714078,1.189161698849923,1.6952457687416391,1.4149670123807683,0.9151127637055614,1,50,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.7178123485694097,0.6899045810511001,0.7267618055299883,0.7069920661414709,0.9687622194797119,0.857475327939718,1.1744641951728578,1.6365526276675235,1.4644086985683302,0.9054449681341774,2,50,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.7943680005818186,0.6127945460251889,0.6400009157054899,0.712301307026567,0.9643803159493896,0.7642521618599538,1.1651645476045946,1.4192332332753377,1.4468321418599137,0.912352950763659,4,50,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.6512731453595194,0.5401188762963295,0.8219747618801178,0.6722370418119525,0.9692522649270956,0.7849587335297845,1.2968436995116512,1.6873578303782992,1.6615169251743562,0.9006038244308201,6,50,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.7420171783539645,0.8113856265220473,0.8689576479545189,0.7036037920362941,0.9649437299035066,1.0348656106196774,1.2393462763464975,1.722549076815822,1.271410393148822,0.9060029303387631,8,50,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.6400584633785217,0.4802937973810086,0.6731326758819159,0.5743154979612412,0.9741769029528764,0.8348151180470199,1.3148467885004071,1.4099850701405512,1.4071068255615682,0.9168659523065675,10,50,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.7681232700726638,0.7216316779228588,0.8626388325954463,0.7674472020030102,0.9656134696891319,0.8364063623429225,1.2299445413456243,1.1604655807647486,1.335262968187454,0.92796671753264,1,75,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.6392567086207017,0.6512960278917695,1.2485962884184432,0.7340678941923647,0.963243534025459,0.7184315532990188,1.3583899864954307,2.0433235681613238,1.4671456204982851,0.9054879071759258,2,75,2
0,DENVER,TMIN,30,0,0,1,196605,201812,0.8580842752730176,0.6057560819639742,0.7040755873713307,0.7468167729343805,0.9652083433830861,1.0688963290273155,1.080067644482387,1.4226713427689779,1.3917903762679087,0.9087783708206022,4,75,2
