,City,Var,Period,Phase,D-Type,T-Type,Start,End,Train Winter,Train Spring,Train Summer,Train Fall,Train R2,Test Winter,Test Spring,Test Summer,Test Fall,Test R2,Layers,First_neuron,FB
0,DENVER,TMIN,24,0,0,1,195201,200502,0.6832856458615878,0.6615896220100044,0.7435018763345166,0.7470739838456932,0.9663530628098589,1.0898949263106799,0.9982620288562284,1.2163230526677427,1.3758232435377904,0.9222493323621035,1,25,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7324881931418403,0.6532169903236187,0.622576484302726,0.7074434894328249,0.9679622383979681,1.1319834391003023,0.902807687103262,1.1986702385089607,1.2818644394959617,0.924399846061118,2,25,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7127705437865184,0.6556971687430175,0.6454126385484374,0.7620390802085506,0.9661367290654922,0.9917971248503639,0.9639085640608597,1.158969092952016,1.278092122030641,0.9321670715005036,4,25,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.8086748725557421,0.7294232852547045,0.6602713211288853,0.8176582529860265,0.961575474967933,1.1446129413813801,0.9375094686516411,1.3574247790512561,1.1280695188902545,0.9263334487786022,6,25,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7375032007703339,0.6817474800102286,0.6478461645570446,0.7619220127608882,0.9660393077759585,1.0980515517420624,0.9472766199951469,1.2630797920615322,1.2407731320797335,0.9256628637817156,8,25,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7567051887752158,0.6765923570036505,0.7700210150351235,0.8634672277562255,0.9627017212139913,1.1710799213962977,0.9965504291810446,1.2834912266986676,1.2068382669623727,0.9232673745153099,10,25,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.6990390019924998,0.7605173158342735,0.8033970614987451,0.8472494602964643,0.9628061526917522,0.944144589951469,1.1489465537718517,1.4300978842337562,1.3875671360632904,0.9219498436474904,1,50,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7854882968542106,0.8121282290738409,0.9631162113598553,1.276975384024808,0.9506224230466174,1.0260851208351278,1.269864082433094,1.412734021258412,1.9126632186912893,0.9062268067371831,2,50,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7511940801525694,0.6333864840671878,0.5838667926346955,0.7546181047029213,0.9678337384946246,1.1169586533286884,0.9139789405667914,1.2146298885504636,1.3423770846855874,0.9243233273147777,4,50,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.872646960451652,0.7583837950880005,0.569788168123241,0.704584842020889,0.9664748906648354,1.3740154718689304,0.9262297960660982,1.2245076846968548,1.435632967320456,0.9111934853176081,6,50,2
