,City,Var,Phase,Period,Dtype,Ttype,Mean Obs,Mean Pred,Mean O-P,Mean abs(O-P),StdD Obs,StdD Pred,StdD O-P,StdD abs(O-P),abs(O-P)/Std,Month
0,DENVER,TMIN,0,0,0,1,17.103703703703705,28.437377823723686,-11.333674120019985,11.533536918074995,4.586813049197439,6.054358433810038,7.42044820203792,7.099754543056087,2.514499020205987,1
1,DENVER,TMIN,0,0,0,1,20.62222222222223,24.8690859829938,-4.246863760771576,5.848082966274685,3.9429740076694952,3.5271891101189836,5.572751134895591,3.8192076798656545,1.4831654874973952,2
2,DENVER,TMIN,0,0,0,1,25.929629629629623,26.153066281919127,-0.2234366522894966,3.8142535033049403,3.2571332243814766,3.8002494179638227,5.123552692975571,3.3880123593145695,1.1710462055261064,3
3,DENVER,TMIN,0,0,0,1,34.41666666666666,31.930406075936776,2.48626059072989,5.033754758481626,3.02329009836435,5.025605920712998,6.159356502770523,4.291738665234987,1.6649923079511857,4
4,DENVER,TMIN,0,0,0,1,44.06481481481481,38.95351113213433,5.111303682680482,6.748498280843098,2.377659972786579,5.468596755465357,6.2104046082571704,4.334278129207025,2.838294103481066,5
5,DENVER,TMIN,0,0,0,1,52.91666666666665,43.68087803875959,9.23578862790708,9.730310722633643,2.6827013983022465,5.140884759459401,6.441170606698649,5.65089005493018,3.6270569392447074,6
6,DENVER,TMIN,0,0,0,1,59.02037037037036,46.76682705349393,12.253543316876447,12.281288401285806,2.073951622371099,5.223003965711079,5.453610463962405,5.3896476993985125,5.9216850908243,7
7,DENVER,TMIN,0,0,0,1,57.41698113207547,48.20146546273861,9.215515669336861,9.215515669336861,1.910168724832826,5.531343979979636,5.469057424269541,5.469057424269541,4.824451133311998,8
8,DENVER,TMIN,0,0,0,1,48.16981132075472,47.693769490943765,0.4760418298109524,4.105239609052551,2.694623200836205,5.6174334357550295,5.648656060808452,3.86797115567709,1.523493009255839,9
9,DENVER,TMIN,0,0,0,1,36.78867924528302,45.28905040812942,-8.500371162846402,9.52229401210569,2.6225838974156837,6.5705628848834,7.040687908443095,5.549713950131672,3.6308825130395403,10
10,DENVER,TMIN,0,0,0,1,25.269811320754723,42.30585159445709,-17.036040273702366,17.036040273702366,2.9116863277846114,7.240211751005154,7.6817981135755256,7.6817981135755256,5.850918799575648,11
11,DENVER,TMIN,0,0,0,1,18.500000000000004,36.73459340941231,-18.23459340941231,18.256042732382717,4.03108116819984,7.415043621412515,8.654922512937897,8.608712583926268,4.52882042574581,12
12,DENVER,TMIN,0,1,0,1,17.16792452830189,18.676874952496224,-1.5089504241943363,3.502260323290555,4.606131932414645,3.3064686514106563,4.563940249368154,3.2632132104324687,0.7603473749078191,1
13,DENVER,TMIN,0,1,0,1,20.62222222222223,21.92759029953568,-1.3053680773134584,3.7272823828238026,3.9429740076694952,3.1008070295199808,4.826147624284339,3.2974351023275563,0.9452972237640548,2
14,DENVER,TMIN,0,1,0,1,25.929629629629623,28.42823720861364,-2.498607578984013,3.5469730659767444,3.2571332243814766,3.400480120061802,4.224968109066589,3.37532116001207,1.0889861794493554,3
15,DENVER,TMIN,0,1,0,1,34.41666666666666,38.38492089730722,-3.9682542306405506,5.954759541264288,3.02329009836435,5.809623455213134,6.314700681945571,4.448752450206747,1.9696288968385507,4
16,DENVER,TMIN,0,1,0,1,44.06481481481481,45.36830534758391,-1.3034905327690973,5.383171731454354,2.377659972786579,5.89676132820112,6.3726589598160945,3.580031464523419,2.2640628992653498,5
17,DENVER,TMIN,0,1,0,1,52.91666666666665,52.39598698086209,0.5206796858045798,3.7355512689661086,2.6827013983022465,4.07519515137009,4.634134591581637,2.744775619583775,1.3924588369507542,6
18,DENVER,TMIN,0,1,0,1,59.02037037037036,54.98121812608507,4.039152244285301,4.489078041359231,2.073951622371099,3.009570680023623,3.8085385427362186,3.2550725737188446,2.16450470345445,7
19,DENVER,TMIN,0,1,0,1,57.41698113207547,55.82932439840065,1.587656733674823,2.6029146014519453,1.910168724832826,3.350150009548341,3.5196279179769245,2.837508176651354,1.3626621395341645,8
