,City,Var,Period,Phase,Dtype,Ttype,Timer
0,DENVER,TMIN,0,0,0,1,28.003983999999946
1,DENVER,TMIN,1,0,0,1,29.349802100000034
2,DENVER,TMIN,2,0,0,1,29.171388399999614
3,DENVER,TMIN,3,0,0,1,38.05125309999994
4,DENVER,TMIN,4,0,0,1,37.87146669999993
5,DENVER,TMIN,5,0,0,1,39.30730330000006
6,DENVER,TMIN,6,0,0,1,41.77468080000017
7,DENVER,TMIN,7,0,0,1,42.800149999999576
8,DENVER,TMIN,8,0,0,1,42.964218099999925
9,DENVER,TMIN,9,0,0,1,46.11180439999998
10,DENVER,TMIN,10,0,0,1,43.583270900000116
11,DENVER,TMIN,11,0,0,1,53.559786299999814
12,DENVER,TMIN,12,0,0,1,53.595328399999744
13,DENVER,TMIN,13,0,0,1,50.70551029999979
14,DENVER,TMIN,14,0,0,1,49.2936851000004
15,DENVER,TMIN,15,0,0,1,48.97589419999986
16,DENVER,TMIN,16,0,0,1,45.517396299999746
17,DENVER,TMIN,17,0,0,1,45.93562769999971
18,DENVER,TMIN,18,0,0,1,43.796030900000005
19,DENVER,TMIN,19,0,0,1,46.167184200000065
20,DENVER,TMIN,20,0,0,1,45.588253299999906
21,DENVER,TMIN,21,0,0,1,48.07084110000005
22,DENVER,TMIN,22,0,0,1,45.33415120000018
23,DENVER,TMIN,23,0,0,1,46.40161089999992
24,DENVER,TMIN,24,0,0,1,49.512777299999925
25,DENVER,TMIN,25,0,0,1,48.410658499999954
26,DENVER,TMIN,26,0,0,1,53.692658200000096
27,DENVER,TMIN,27,0,0,1,50.3386531000001
28,DENVER,TMIN,28,0,0,1,44.63469020000002
29,DENVER,TMIN,29,0,0,1,48.42302989999962
30,DENVER,TMIN,30,0,0,1,50.218342699999994
31,DENVER,TMIN,31,0,0,1,63.601328600000215
32,DENVER,TMIN,32,0,0,1,53.26776659999996
33,DENVER,TMIN,33,0,0,1,51.443033300000025
34,DENVER,TMIN,34,0,0,1,45.61786779999966
35,DENVER,TMIN,35,0,0,1,46.83325300000024
36,DENVER,TMIN,36,0,0,1,45.56161139999949
37,DENVER,TMAX,0,0,0,1,45.669964300000174
38,DENVER,TMAX,1,0,0,1,46.35021080000024
39,DENVER,TMAX,2,0,0,1,45.9085328000001
40,DENVER,TMAX,3,0,0,1,48.70756579999943
41,DENVER,TMAX,4,0,0,1,48.471165400000245
42,DENVER,TMAX,5,0,0,1,47.41722539999955
43,DENVER,TMAX,6,0,0,1,47.251980600000024
44,DENVER,TMAX,7,0,0,1,47.51930379999976
45,DENVER,TMAX,8,0,0,1,46.446722200000295
46,DENVER,TMAX,9,0,0,1,55.31407810000019
47,DENVER,TMAX,10,0,0,1,53.19914140000037
48,DENVER,TMAX,11,0,0,1,53.69749779999984
49,DENVER,TMAX,12,0,0,1,53.041302099999484
50,DENVER,TMAX,13,0,0,1,41.92226630000005
51,DENVER,TMAX,14,0,0,1,41.36806059999981
52,DENVER,TMAX,15,0,0,1,43.24160960000063
53,DENVER,TMAX,16,0,0,1,40.716369799999484
54,DENVER,TMAX,17,0,0,1,40.428577899999254
55,DENVER,TMAX,18,0,0,1,40.87038269999994
56,DENVER,TMAX,19,0,0,1,40.06760350000059
57,DENVER,TMAX,20,0,0,1,40.19128069999988
58,DENVER,TMAX,21,0,0,1,50.2772229000002
59,DENVER,TMAX,22,0,0,1,58.705267399999684
60,DENVER,TMAX,23,0,0,1,62.574501100000816
61,DENVER,TMAX,24,0,0,1,58.45593589999953
62,DENVER,TMAX,25,0,0,1,50.79708059999939
63,DENVER,TMAX,26,0,0,1,68.62125819999983
64,DENVER,TMAX,27,0,0,1,64.7600953000001
65,DENVER,TMAX,28,0,0,1,64.9990985000004
66,DENVER,TMAX,29,0,0,1,63.46903310000016
67,DENVER,TMAX,30,0,0,1,86.19844160000048
68,DENVER,TMAX,31,0,0,1,73.64297019999958
69,DENVER,TMAX,32,0,0,1,76.1461276
70,DENVER,TMAX,33,0,0,1,78.26547550000032
71,DENVER,TMAX,34,0,0,1,74.52752009999949
72,DENVER,TMAX,35,0,0,1,73.6583972999997
73,DENVER,TMAX,36,0,0,1,77.08124429999953
